[Yeas[Nays[Outcome[Issue[Title[Vote number[Congress[Session[Democratic Party Yeas[Democratic Party Nays[Republican Party Yeas[Republican Party Nays[Other Party Yeas[Other Party Nays[Tiebreaking Vote[Vote Threshold Required[Tiebreaking Authority
372[48[48[False[H.R. 5257[Motion To Table Amendment No. 2954; To protect the health and well-being of young people and the integrity of their families.[266[101[2[40.0[14.0[8.0[34.0[0.0[0.0[Did not vote[1/2[
443[49[49[False[S. 137[McCain Amdt. No. 2444; To restrict the use of contributions and of payments and benefits received under title V of FECA to bona fide campaign activities and to require that surplus campaign funds be paid into the Treasury of the United States to aid in reducing the deficit.[195[101[2[11.0[44.0[38.0[5.0[0.0[0.0[Did not vote[1/2[
622[49[49[False[S.J.Res. 212["Cloture Motion on S.J.Res. 212; A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923""."[16[101[2[23.0[31.0[26.0[18.0[0.0[0.0[[3/5[
961[49[49[False[H.R. 5504[Helms Amdt No. 3118; To prevent the use of tax dollars to support efforts by charitable organizations to compel the Boy Scouts of America to accept, as members or leaders, homosexuals, or other individuals who reject the Boy Scout's oath of allegiance to God and country.[227[102[2[18.0[37.0[31.0[12.0[0.0[0.0[Did not vote[1/2[
988[49[49[False[H.R. 5488[Motion To Waive CBA; To amend title II of the Social Security Act to provide for a more gradual period of transition (under a new alternative formula with respect to such transition) to the changes in benefit computation rules enacted in the Social Security Amendments of 1977 as such changes apply to workers born in years after 1919 and before 1927 (and related beneficiaries) and to provide for increases in such workers' benefits accordingly, and for other purposes.[200[102[2[33.0[22.0[16.0[27.0[0.0[0.0[[3/5[
1111[45[45[False[S.Con.Res. 106[Constitutional Point Of Order; To provide an additional $150,000,000 in deficit savings over the next five years.[77[102[2[45.0[7.0[0.0[38.0[0.0[0.0[Did not vote[1/2[
1336[50[50[True[H.R. 2264[conference report to accompany h.r.2264; A bill to provide for reconciliation pursuant to section 7 of the concurrent resolution on the budget for fiscal year 1994.[247[103[1[50.0[6.0[0.0[44.0[0.0[0.0[Yea[1/2[Vice President
1346[50[50[False[H.R. 2667[motion to table: is harkin amdt. no. 756, germane; To provide full payments to producers for crop losses resulting from damaging weather or related conditions in 1993, and for claims for assistance by producers with 1990, 1991, and 1992 crop losses.[237[103[1[29.0[27.0[21.0[23.0[0.0[0.0[Did not vote[1/2[
1393[49[49[True[H.R. 2264[h.r.2264 as amended; A bill to provide for reconciliation pursuant to section 7 of the concurrent resolution on the budget for fiscal year 1994.[190[103[1[49.0[6.0[0.0[43.0[0.0[0.0[Yea[1/2[Vice President
1657[50[50[True[H.R. 4624[motion to table johnston amdt no. 2446; To impose a limitation on the use of funding to promulgate, implement, or enforce an EPA regulation mandating a specified percentage market share for ethanol oxygenates in reformulated gasoline and, in addition, to reduce funding for NASA procurement expenses by $39,300,000.[255[103[2[31.0[25.0[19.0[25.0[0.0[0.0[Yea[1/2[Vice President
